Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson Ratio,Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Elastic Modulus 2,Filler Elastic Modulus 3,Filler Poisson 1,Filler Poisson 2,Filler Poisson 3,Filler Shear 1,Filler Shear 2,Filler Shear 3,Strain Rate
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.05E-07
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.78E-07
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.54E-07
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.07E-07
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.64E-07
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,4.05E-07
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.80E-07
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.55E-07
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.08E-07
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,4.62E-07
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.29E-07
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.02E-07
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,3.76E-07
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,3.26E-07
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.83E-07
0.38,1490,2662.557781,0.38,252.04918,0.545587608,233,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,4.05E-07
0.38,1490,2621.468927,0.38,149.590164,0.431151575,273,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.79E-07
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.54E-07
0.38,1490,2576.271186,0.38,79.918033,0.346129167,333,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.08E-07
0.38,1490,1152.542373,0.38,43.032787,0.277230974,393,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,4.62E-07
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.35E-07
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.98E-07
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2.93E-07
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.08E-07
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.00E-07
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,5.34E-07
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.98E-07
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,2.93E-07
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.07E-07
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.00E-07
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,5.56E-07
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.15E-07
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.15E-07
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,3.21E-07
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,3.11E-07
0.37,1200,1186.206897,0.37,89.655172,0.22999764,233,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,5.34E-07
0.37,1200,1354.231975,0.37,77.586207,0.23256682,273,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.98E-07
0.37,1200,1655.172414,0.37,67.241379,0.544620657,298,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,2.93E-07
0.37,1200,1396.551724,0.37,62.068966,0.346699482,333,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.07E-07
0.37,1200,1075.862069,0.37,46.551724,0.285243921,393,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.00E-07
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,6.83E-07
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.05E-07
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.37E-07
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,3.90E-07
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,2.09E-07
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,6.86E-07
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,4.06E-07
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.37E-07
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,3.90E-07
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,2540,75000,75000,75000,0.2,0.2,0.22,30000,30000,30000,2.09E-07
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,7.20E-07
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.26E-07
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,3.54E-07
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,4.07E-07
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,1470,150000,4200,4200,0.35,0.35,0.35,2900,2900,1500,2.18E-07
0.36,1180,2658.665105,0.36,252.04918,0.545587608,233,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,6.85E-07
0.36,1180,2742.622951,0.36,149.590164,0.431151575,273,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,4.05E-07
0.36,1180,2448.770492,0.36,106.557377,0.444529483,298,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.37E-07
0.36,1180,1652.920082,0.36,79.918033,0.346129167,333,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,3.89E-07
0.36,1180,1567.213115,0.36,43.032787,0.277230974,393,2530,85000,85000,85000,0.35,0.35,0.35,36000,36000,36000,2.09E-07
