Porosity,Young Modulus,Ultimate Strength,Fracture Strain,StrainRate
47.9495,2900,73,12.3,0.004907797
50.1729,2900,73,12.3,0.004905052
69.5209,2900,73,12.3,0.004905773
76.5149,2900,73,12.3,0.004903737
52.176,2080,52,12,0.00490639
45.3978,2080,52,12,0.004907213
63.6274,2080,52,12,0.004905463
74.4507,2080,52,12,0.004903692
48.0919,2300,52,4,0.004904368
62.5138,2300,52,4,0.004903937
70.8943,2300,52,4,0.004903079
75.516,2300,52,4,0.004902322
55.1397,1000,28,55,0.004902338
79.6729,1000,28,55,0.004902301
70.8888,1000,28,55,0.004902264
51.7524,350,20,100,0.004902148
63.6886,350,20,100,0.004902152
76.1705,350,20,100,0.004902145
70.5073,350,20,100,0.004902118
60.1906,396,20.6,173,0.004902226
70.9247,396,20.6,173,0.004902182
82.9849,396,20.6,173,0.004902254
74.4415,396,20.6,173,0.004902127
34.4605,4.6,8.9,120,0.004902047
75.4143,4.6,8.9,120,0.004902066
50.3552,2600,61,13,0.004904447
44.8914,2600,61,13,0.004908111
59.5449,2600,61,13,0.004903965
80.7881,2600,61,13,0.004903672
54.7686,1434,45,101,0.004902169
69.582,1434,45,101,0.004902101
76.0065,1434,45,101,0.004902066
73.1961,1434,45,101,0.004902114
32.5979,1378,52,127,0.004902447
55.6924,1378,52,127,0.004902115
82.5765,1378,52,127,0.004902098
54.1043,1378,52,127,0.004902365
31.4352,1245,38,141,0.004902223
51.5741,1245,38,141,0.004902131
81.6667,1245,38,141,0.004902308
71.2037,1245,38,141,0.004902073
42.7219,1494,39,105,0.004902387
59.2282,1494,39,105,0.004902405
78.7348,1494,39,105,0.004902169
54.6,1494,39,105,0.00490231
64.7071,1806,53,43,0.004902854
86.8319,1806,53,43,0.004902619
88.2352,1806,53,43,0.004902374
67.9298,1806,53,43,0.004902451
48.2498,1752,45,41,0.004904142
68.4967,1752,45,41,0.004902506
89.2529,1752,45,41,0.004902356
51.8322,1752,45,41,0.0049042
33.8186,1305,37,110,0.004902269
45.898,1305,37,110,0.004902122
67.0262,1305,37,110,0.004902223
90.9043,1305,37,110,0.004902191
38.7848,1673,46,51,0.004903558
50.8765,1673,46,51,0.004902922
62.8642,1673,46,51,0.004902613
50.2434,1673,46,51,0.00490349
59.5061,4100,69,5.3,0.004910121
55.1828,4100,69,5.3,0.004920289
68.6663,4100,69,5.3,0.004920255
49.1501,4100,69,5.3,0.004916127
53.4398,1500,33,51,0.004902497
64.0421,1500,33,51,0.004902168
76.5528,1500,33,51,0.004902268
54.7607,1500,33,51,0.00490235
73.5592,2200,46,48,0.004902237
60.4456,2200,46,48,0.004902612
74.1368,2200,46,48,0.004902833
65.1808,2200,46,48,0.004902307
52.9442,2200,46,48,0.004902791
56.3937,2800,65,6.2,0.004910024
67.2429,2800,65,6.2,0.004907946
78.9029,2800,65,6.2,0.004903206
48.0422,2800,65,6.2,0.004909254
